"dob","gender","situation","tea","coffee","height","weight","age","meat","fish","raw_fruit","cooked_fruit_veg","chocol","fat"
"1967-01-28","Female","single","0",0,151,58,58,"4-6/week.","2-3/week.","<1/week.","4-6/week.","1/day.","Isio4"
"1965-05-05","Female","single","1",1,162,60,60,"1/day.","1/week.","1/day.","1/day.","<1/week.","sunflower"
"1950-11-21","Female","single","0",4,162,75,75,"2-3/week.","<1/week.","1/day.","1/week.","1/day.","sunflower"
"1980-03-16","Female","single","0",0,154,45,45,"never","4-6/week.","4-6/week.","never","2-3/week.","margarine"
"1975-07-20","Female","single","2",1,154,50,50,"1/day.","2-3/week.","1/day.","1/day.","2-3/week.","margarine"
"1959-07-23","Female","single","2",0,159,66,66,"4-6/week.","1/week.","1/day.","1/day.","<1/week.","peanut"
"1959-09-21","Female","single","2",0,160,66,66,"2-3/week.","2-3/week.","1/day.","1/day.","1/day.","Isio4"
"1959-02-03","Female","single","0",2,163,66,66,"4-6/week.","1/week.","1/day.","1/day.","<1/week.","Isio4"
"1965-12-15","Female","single","0",3,154,60,60,"4-6/week.","2-3/week.","1/day.","1/day.","1/day.","Isio4"
"1948-06-14","Female","single","0",2,160,77,77,"1/week.","2-3/week.","1/day.","4-6/week.","never","peanut"
"1957-11-20","Female","single","0",2,175,68,68,"1/day.","1/week.","1/day.","1/day.","1/day.","peanut"
"1950-08-25","Female","single","2",0,165,75,75,"1/day.","1/week.","1/week.","2-3/week.","never","Isio4"
"1972-12-16","Female","single","0",3,158,53,53,"4-6/week.","1/week.","1/day.","1/day.","1/day.","sunflower"
"1962-08-18","Female","single","2",0,155,63,63,"2-3/week.","<1/week.","1/day.","2-3/week.","1/week.","sunflower"
"1945-01-15","Female","single","0",2,154,80,80,"2-3/week.","2-3/week.","1/day.","1/day.","<1/week.","peanut"
"1945-01-18","Male","single","0",3,166,80,80,"1/day.","never","1/day.","2-3/week.","never","sunflower"
"1968-10-04","Female","single","0",2,159,57,57,"2-3/week.","1/week.","1/day.","2-3/week.","<1/week.","sunflower"
"1970-01-13","Female","single","0",2,157,55,55,"2-3/week.","1/week.","1/day.","1/day.","1/week.","peanut"
"1968-08-15","Male","single","0",1,165,57,57,"1/day.","1/week.","1/day.","1/day.","1/day.","sunflower"
"1935-06-28","Female","single","0",0,156,90,90,"1/day.","<1/week.","1/day.","1/day.","1/week.","sunflower"
"1935-11-11","Male","couple","0",1,175,90,90,"1/day.","<1/week.","1/day.","2-3/week.","1/week.","duck"
"1957-03-19","Female","couple","2",2,161,68,68,"4-6/week.","1/week.","1/day.","1/day.","<1/week.","butter"
"1942-12-13","Male","couple","2",2,168,83,83,"4-6/week.","1/week.","1/day.","1/day.","<1/week.","butter"
"1935-02-15","Male","single","0",4,168,90,90,"2-3/week.","1/week.","4-6/week.","1/day.","never","peanut"
"1969-06-20","Female","couple","3",1,156,56,56,"2-3/week.","1/week.","1/day.","2-3/week.","never","sunflower"
"1955-11-02","Male","couple","3",2,170,70,70,"2-3/week.","1/week.","1/day.","2-3/week.","never","sunflower"
"1967-07-01","Female","single","0",0,162,58,58,"4-6/week.","2-3/week.","1/day.","1/day.","never","peanut"
"1945-11-15","Male","couple","4",5,172,80,80,"1/day.","2-3/week.","1/day.","1/day.","1/day.","olive"
"1950-02-09","Female","single","1",1,165,75,75,"4-6/week.","2-3/week.","1/day.","1/day.","1/day.","peanut"
"1944-12-12","Male","couple","0",2,171,81,81,"4-6/week.","1/week.","1/day.","1/day.","1/day.","peanut"
"1971-12-25","Female","couple","0",1,160,54,54,"4-6/week.","4-6/week.","1/day.","2-3/week.","1/week.","sunflower"
"1943-05-19","Male","couple","0",3,176,82,82,"2-3/week.","2-3/week.","2-3/week.","1/day.","1/day.","Isio4"
"1972-11-08","Male","couple","0",3,164,53,53,"1/day.","2-3/week.","1/day.","1/day.","<1/week.","olive"
"1967-02-04","Female","couple","1",2,156,58,58,"1/day.","2-3/week.","1/day.","1/day.","1/day.","peanut"
"1955-03-07","Female","single","0",2,153,70,70,"1/day.","never","1/day.","1/day.","2-3/week.","olive"
"1955-11-18","Male","couple","1",0,159,70,70,"2-3/week.","<1/week.","1/day.","4-6/week.","1/day.","butter"
"1965-04-17","Male","couple","0",5,170,60,60,"4-6/week.","1/week.","1/day.","1/day.","1/day.","butter"
"1938-01-27","Male","family","0",0,178,87,87,"2-3/week.","1/week.","4-6/week.","2-3/week.","1/week.","butter"
"1939-12-29","Male","couple","1",2,172,86,86,"1/week.","1/day.","1/day.","1/day.","<1/week.","sunflower"
"1930-06-19","Male","couple","0",3,186,95,95,"4-6/week.","2-3/week.","1/day.","1/day.","1/day.","sunflower"
