School.Name,State,School.Sector,School.Type,Geolocation,ICSEA,Full.Time.Teaching.Staff,Full.Time.Non.Teaching.Staff,Total.Enrolments,Girls.Enrolments,Boys.Enrolments,Indigenous.Enrolments.Percentage,LBOTE.Percentage
Corpus Christi Catholic School,TAS,Catholic,Primary,Inner Regional,1061,21.8,11.4,395,185,210,2,5
Fahan School,TAS,Independent,Combined,Inner Regional,1136,36.3,19.3,404,404,0,1,10
Geneva Christian College,TAS,Independent,Combined,Outer Regional,995,17,24.2,235,110,125,6,3
Holy Rosary Catholic School,TAS,Catholic,Primary,Inner Regional,997,25.1,11.3,392,179,213,6,1
Immaculate Heart of Mary Catholic School,TAS,Catholic,Primary,Inner Regional,992,12.4,7.1,202,110,92,11,14
John Calvin School,TAS,Independent,Combined,Inner Regional,1055,10,4.9,105,56,49,0,1
Larmenier Catholic School,TAS,Catholic,Primary,Inner Regional,1002,12.4,5.9,189,99,90,6,4
Launceston Church Grammar School,TAS,Independent,Combined,Inner Regional,1096,82.1,49.9,753,369,384,3,9
St James Catholic College,TAS,Catholic,Combined,Outer Regional,897,24.6,11.8,260,124,136,37,0
Our Lady of Lourdes Catholic School,TAS,Catholic,Primary,Inner Regional,1019,23,14.4,411,201,210,9,4
Our Lady of Mercy Catholic School,TAS,Catholic,Primary,Outer Regional,985,8.3,3.6,88,42,46,10,5
Sacred Heart Catholic School,TAS,Catholic,Primary,Outer Regional,1006,14.7,8.2,225,108,117,13,1
Sacred Heart Catholic School,TAS,Catholic,Primary,Outer Regional,953,12.6,8,155,79,76,21,1
St Anthony's Catholic School,TAS,Catholic,Primary,Inner Regional,1033,11,4.8,158,63,95,4,4
St Peter Chanel Catholic School,TAS,Catholic,Primary,Outer Regional,878,11.5,9.3,149,71,78,45,1
St Brigid's Catholic School,TAS,Catholic,Primary,Inner Regional,978,12.8,6,189,86,103,7,2
St Brigid's Catholic School,TAS,Catholic,Primary,Outer Regional,954,11.6,7.5,146,69,77,21,1
St Cuthbert's Catholic School,TAS,Catholic,Primary,Inner Regional,1021,15.7,7.3,229,113,116,5,6
St John's Catholic School,TAS,Catholic,Primary,Inner Regional,1026,17.7,8.3,294,142,152,4,0
St Joseph's Catholic School,TAS,Catholic,Primary,Remote,960,7,3.7,44,21,23,9,7
St Joseph's Catholic School,TAS,Catholic,Primary,Remote,937,9.1,4,96,45,51,14,1
St Mary's College,TAS,Catholic,Combined,Inner Regional,1058,71,40.9,894,840,54,2,9
St Patrick's Catholic School,TAS,Catholic,Primary,Inner Regional,1014,11.8,5.3,165,67,98,4,8
St Therese's Catholic School,TAS,Catholic,Primary,Inner Regional,1007,12,8.6,199,110,89,6,8
Hilliard Christian School,TAS,Independent,Combined,Inner Regional,962,10.7,6.3,147,71,76,5,31
